PLAYER NAME,PLAYING ROLE,BATTING STYLE,BOWLING STYLE,NATIONALITY,STARTING BIDDING PRICE
Virat Kohli,Top order Batter,Right Hand Bat,Right Arm Medium,Indian,5
AB de Villiers,Wicketkeeper Batter,Right Hand Bat,Right Arm Medium,South African,5
Glenn Maxwell,All Rounder,Right Hand Bat,Right Arm Offbreak,Australian,5
Yuzvendra Chahal,Bowler,Right Hand Bat,Legbreak Googly,Indian,3
Mohammed Siraj,Bowler,Right Hand Bat,Right Arm Medium Fast,Indian,3
Devdutt Padikkal,Top order Batter,Left Hand Bat,Right Arm Offbreak,Indian,3
Dan Christian,All Rounder,Right Hand Bat,Right Arm Medium Fast,Australian,1
Harshal Patel,Bowler,Right Hand Bat,Right Arm Medium,Indian,1
Washington Sundar,Bowling Allrounder,Left Hand Bat,Right Arm Offbreak,Indian,3
Navdeep Saini,Bowler,Right Hand Bat,Right Arm Fast,Indian,2
Daniel Sams,All Rounder,Right Hand Bat,Left Arm Fast Medium,Australian,2
Kyle Jamieson,Bowler,Right Hand Bat,Right Arm Medium Fast,New Zealand,2
Shahbaz Ahmed,Allrounder,Left Hand Bat,Slow Left Arm Orthodox,Indian,0.5
Josh Philippe,Wicketkeeper Batter,Right Hand Bat,N/A,Australian,2
Ruturaj Gaikwad,Batter,Right Hand Bat,Right Arm Offbreak,Indian,1
MS Dhoni,Wicketkeeper Batter,Right Hand Bat,Right Arm Medium,Indian,3
Moeen Ali,Batting Allrounder,Left Hand Bat,Right Arm Offbreak,England,3
Sam Curran,AllRounder,Left Hand Bat,Left Arm Medium Fast,England,2
Dwayne Bravo,All Rounder,Right Hand Bat,Right Arm Medium,West indies,2
Deepak Chahar,Bowler,Right Hand Bat,Right Arm Medium,Indian,2
Faf du Plessis,Middle Order Batter,Right Hand Bat,Legbreak ,South African,5
Ravindra Jadeja,All Rounder,Left Hand Bat,Slow Left Arm Orthodox,Indian,5
Narayan Jagadeesan,Opening Batter,Right Hand Bat,N/A,Indian,1
Suresh Raina,Middle order Batter,Left Hand Bat,Right Arm Offbreak,Indian,1
Ambati rayudu,Middle order Batter,Right Hand Bat,Right Arm Offbreak,Indian,1
Robin Uthappa,Batter,Right Hand Bat,Right Arm Medium,Indian,1
Shardul Thakur,Bowler,Right Hand Bat,Right Arm Medium,Indian,1
Imran Tahir,Bowler,Right Hand Bat,Legbreak Googly,South African,3
Lungi Ngidi,Bowler,Right Hand Bat,Right Arm Medium Fast,South African,2
Jason Behrendorff,Bowler,Right Hand Bat,Left Arm Medium Fast,Australian,1
Rohit Sharma,Top order Batter,Right Hand Bat,Right Arm Offbreak,Indian,5
Jasprit Bumrah,Bowler,Right Hand Bat,Right Arm Fast,Indian,5
Krunal Pandya,AllRounder,Left Hand Bat,Slow Left Arm Orthodox,Indian,2
Trent Boult,Bowler,Right Hand Bat,Left Arm Fast Medium,New Zealand,3
Piyush Chawla,Bowling Allrounder,Left Hand Bat,Legbreak,Indian,1
Quinton de Kock,Wicketkeeper Batter,Left Hand Bat,N/A,South African,3
Rahul Chahar,Bowler,Right Hand Bat,Legbreak Googly,Indian,2
Ishan Kishan,Wicketkeeper Batter,Left Hand Bat,N/A,Indian,2
Hardik Pandya,All Rounder,Right Hand Bat,Right Arm Medium Fast,Indian,5
Keiron Pollard,All Rounder,Right Hand Bat,Right Arm Medium,West indies,5
James Neesham,Batting Allrounder,Left Hand Bat,Right Arm Medium Fast,New Zealand,2
Nathan-Coulter Nile,Bowling Allrounder,Right Hand Bat,Right Arm Fast,Australian,2
Chris Lynn,Batter,Right Hand Bat,Slow Left Arm Orthodox,Australian,2
Suryakumar Yadav,All Rounder,Right Hand Bat,Right Hand Medium and Offbreak,Indian,3
Saurabh Tiwary,Opening Batter,Left Hand Bat,N/A,Indian,0.5
Rishabh Rajendra Pant,Wicketkeeper Batter,Left Hand Bat,N/A,Indian,3
Shikhar Dhawan,Opening Batter,Left Hand Bat,Right Arm Offbreak,Indian,3
Avesh Khan,Bowler,Right Hand Bat,Right Arm Medium Fast,Indian,1
Sam BIllings,Wicketkeeper Batter,Right Hand Bat,N/A,England,2
Shimron Hetmyer,Top Order Batter,Left Hand Bat,N/A,West Indies,2
Amit Mishra,Bowler,Right Hand Bat,Legbreak,Indian,1
Anrich Nortje,Bowler,Right Hand Bat,Right Arm Fast,South Africa,1
Kagiso Rabada,Bowler,Left Hand Bat,Right Arm Fast,South Africa,3
